City,IATA Code,Country,Resort,Ocean,River,Sea,Romantic,Romance,Couples,Caribbean,Relax,Tropics,Palm Tree,Sun,Swimming Pool,Water,Yellow,Beach,Trees,Coral Reef,Mountain,Amusement Park,Wildlife,Forest,City,Skyline,Building,Busy,Traffic,Car,Vehicle,Crowd,Festival,Basketball,Soccer,Stadium,Football,Baseball,Hockey,Hiking,Wetland,Meadow,Prairie,Ship,Cruise,Harbour,Island,Architecture,Warm,Desert,Bike,Cycling,Biking,Buffet,Eating,Food,Skiing,Chairlift,Snowbard,Ski,Hill,Snow,Cold,Winter,Ice,Path,Trail,Hiking,Hike,Walking,Backpacking,Exercise,Golf,Spa,Fair,Fishing,Horse,Sailing,Casino,Poker,Gambling,Alcohol,Drinking,Nightlife,Wilderness,Sky,Atmosphere,Nature,Animal,Plant,Rural,Quiet,Aurora,Glacier,Waterfall,Museum,Fun,Leisure,Friendly,Safe,Peace,Island,Adventure,Rock,Climbing,Mountaineer,Mountaineering,Mountain Climbing
Albuquerque,ABQ,USA,Sandia Resort & Casino,NULL,NULL,NULL,Great for Couples,Great for Couples,Great for Couples,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Cibola National Forest,NULL,Sandia Mountains,NULL,Valles Caldera National Preserve,Carson National Forest,City of Albuquerque,Alburquerque,Alburquerque,Alburquerque,Alburquerque,Alburquerque,Alburquerque,River of Lights,Albuquerque International Balloon Fiesta,NULL,NULL,Dreamstyle Stadium,NULL,NULL,NULL,Valles Caldera National Preserve,Rio Grande Valley State Park,El Mapais National Conservation Area,Laguna Peublo,NULL,NULL,NULL,NULL,"Southwestern, Mid Century Modern",Warm place for the winter,In the middle of a desert,Both,Both,Both,Tex-Mex,Tex-Mex,Tex-Mex,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ABQ City Trails,ABQ City Trails,ABQ City Trails,ABQ City Trails,ABQ City Trails,ABQ City Trails,ABQ City Trails,Sandia Golf Club,Sandia Resort & Casino,Albuquerque International Balloon Fiesta,NULL,Flying Horse Riding Lessons,Null,Isleta Resort & Casino,Isleta Resort & Casino,Isleta Resort & Casino,Isleta Resort & Casino,Isleta Resort & Casino,Downtown Distillery,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,NULL,"Dry, desert rock",NULL,NULL,NULL,NULL
Nantucket,ACK,USA,The Nantucket Hotel,Atlantic Ocean,NULL,NULL,Great for Couples,Great for Couples,Great for Couples,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Madaket Beach,Nantucket Forests,NULL,NULL,NULL,Nantucket National Wildlife Refuge ,Nantucket Forests,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Cape Cod Coast,Home to marshes and bogs nearby,Meadows just outside the city,NULL,NULL,NULL,Great harbor for activities and water transport,Nantucket,"New England, American Craftsman",NULL,NULL,Both,Both,Both,Seafood,Seafood,Seafood,NULL,NULL,NULL,NULL,NULL,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Miacomet Golf Course,The Nantucket Hotel,Nantucket Island Fair,Capt. Tom's Charter,NULL,Endeavor Sailing,NULL,NULL,NULL,NULL,NULL,The Chicken Box,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,Relaxing,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Albany,ALB,USA,NULL,NULL,Hudson River,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Adirondack Forest,NULL,Adirondacks,NULL,Adirondack Mountains,Adirondack Mountains,Albany,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Adirondack Mountains,Home to marshes and bogs nearby,Green Mountain Forest,NULL,NULL,NULL,NULL,NULL,"American Colonial, New England",NULL,NULL,Both,Both,Both,NULL,NULL,NULL,Maple Ski Ridge,Maple Ski Ridge,Maple Ski Ridge,Maple Ski Ridge,Maple Ski Ridge,Yes,Yes,Yes,Yes,Adirondack Mountain Trails,Adirondack Mountain Trails,Adirondack Mountain Trails,Adirondack Mountain Trails,Adirondack Mountain Trails,Adirondack Mountain Trails,Adirondack Mountain Trails,Capital Hills at Albany,Salon 109,Albany County Fair,Saratoga Lake,Krumkill Stables,Null,NULL,NULL,NULL,NULL,NULL,The City Beer Hall,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,Poestenkill Falls,State Capitol Building,NULL,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Anchorage,ANC,USA,Alyeska Resort,Pacific Ocean,Susitna River,Bering Sea,Great for Couples,Great for Couples,Great for Couples,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Denali National Park,NULL,Mt. Denali,NULL,Denali National Park,Chugach State Park,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Anchorage International Film Festival,NULL,NULL,NULL,NULL,NULL,NULL,Denali National Park,NULL,Denali National Park ,NULL,Multiple Cruise Lines,Multiple Cruise Lines,Great harbor for activities and water transport,NULL,NULL,NULL,NULL,Mtn,Mtn,Mtn,Seafood,Seafood,Seafood,Hilltop Ski Area,Hilltop Ski Area,Hilltop Ski Area,Hilltop Ski Area,Hilltop Ski Area,Yes,Yes,Yes,Yes,Kincaid Park ,Kincaid Park ,Kincaid Park ,Kincaid Park ,Kincaid Park ,Kincaid Park ,Kincaid Park ,Anchorage Golf Course,Alyeska Resort,Alaska State Fair,Fisherman's Choice Charters,Horse Adventures,NULL,Agate Pull Tabs,Agate Pull Tabs,Agate Pull Tabs,Agate Pull Tabs,Agate Pull Tabs,Darwin's Theory,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Portage Glacier,Thunderbird Falls,NULL,Picturesque,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,Lots of wilderness,Exposed rock,Denali,Denali,Denali,Denali
St. John's,ANU,Antigua and Barbuda,Crystal Cove Riverfront Resort,Atlantic Ocean,NULL,Caribbean Sea,Great for Couples,Great for Couples,Great for Couples,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,Warm Water,Palm Trees,Yes,NULL,NULL,Coral Reefs,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Fooststeps Rainforest,NULL,NULL,NULL,Multiple Cruise Lines,Multiple Cruise Lines,Great harbor for activities and water transport,Antigua,Italianate,Warm place for the winter,NULL,NULL,NULL,NULL,Caribbean,Caribbean,Caribbean,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Cedar Valley Golf Club,Crystal Cove Riverfront Resort,,Yes,Springhill Riding Club,Yes,Paradise Casino,Paradise Casino,Paradise Casino,Paradise Casino,Paradise Casino,Yes,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,Christian Valley Waterfall,NULL,Relaxing,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,Antigua,NULL,NULL,NULL,NULL,NULL,NULL
Atlanta,ATL,USA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Eastern Deciduous,NULL,NULL,Six Flags,NULL,Atlanta Tree Canopy,Atlanta,Atlanta,Atlanta,Atlanta,Atlanta,Atlanta,Atlanta,NULL,Georgia State Fair,Atlanta Hawks,NULL,Georgia Dome,Atlanta Falcons,Atlanta Braves,NULL,NULL,Home to marshes and bogs nearby,Meadows just outside the city,NULL,NULL,NULL,NULL,NULL,"Modern, Colonial Revival",NULL,NULL,Mtn,Mtn,Mtn,Southern,Southern,Southern,NULL,NULL,NULL,NULL,NULL,Occasional ,Occasional ,Occasional ,Occasional ,Arabia Mountain Top Trail,Arabia Mountain Top Trail,Arabia Mountain Top Trail,Arabia Mountain Top Trail,Arabia Mountain Top Trail,Arabia Mountain Top Trail,Arabia Mountain Top Trail,East Lake Golf Club,Four Seasons Hotel,,NULL,Chatain Horse Park,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,Ravven Cliff Falls,Coca Cola Museum,Interesting,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,NULL,Rock Mountain,NULL,NULL,NULL,NULL
Orajestad,AUA,Aruba,Tamarijn Aruba,Atlantic Ocean,NULL,Caribbean Sea,Great for Couples,Great for Couples,Great for Couples,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,Palm Beach,Tropical,Yes,NULL,NULL,Marine Life,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Multiple Cruise Lines,Multiple Cruise Lines,Great harbor for activities and water transport,Aruba,Italianate,Warm place for the winter,NULL,NULL,NULL,NULL,South Caribbean,South Caribbean,South Caribbean,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,Tamarijn Aruba,,Yes,NULL,Yes,Stellaris Casino,Stellaris Casino,Stellaris Casino,Stellaris Casino,Stellaris Casino,Yes,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,Relaxing,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,Aruba,NULL,NULL,NULL,NULL,NULL,NULL
Austin,AUS,USA,Omni Barton Creek Resort & Spa,NULL,NULL,NULL,Great for Couples,Great for Couples,Great for Couples,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,NULL,Sub Mediterranean ,NULL,NULL,ZDT's Amusement Park,NULL,Balcones Canyonlands National Wildlife Refuge,Austin,Austin,Austin,Austin,Austin,Austin,Austin,NULL,NULL,NULL,NULL,Texas Memorial Stadium,NULL,NULL,NULL,NULL,Home to marshes and bogs nearby,Meadows just outside the city,Prairies nearby,NULL,NULL,NULL,NULL,"Modern, Colonial Revival",Warm place for the winter,NULL,Mtn,Mtn,Mtn,Texan BBQ,Texan BBQ,Texan BBQ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,River Place Nature Hike,River Place Nature Hike,River Place Nature Hike,River Place Nature Hike,River Place Nature Hike,River Place Nature Hike,River Place Nature Hike,,Omni Barton Creek Resort & Spa,,NULL,Texas Trail Rides,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,Sculpture Falls,State Capitol Building,Cultural,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Samana,AZS,Dominican Republic,Grand Bahia Principe Cayacoa,Atlantic Ocean,NULL,NULL,NULL,NULL,NULL,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,Las Terrenas,Tropical,Yes,Pico Duarte,NULL,Marine Life,Parque Nacional Los Haitises,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Isabel de Torres Trail,Home to marshes and bogs nearby,NULL,NULL,NULL,NULL,Great harbor for activities and water transport,Hispaniola,NULL,Warm place for the winter,NULL,Mtn,Mtn,Mtn,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Boca del Diablo - Playa Fronton,Boca del Diablo - Playa Fronton,Boca del Diablo - Playa Fronton,Boca del Diablo - Playa Fronton,Boca del Diablo - Playa Fronton,Boca del Diablo - Playa Fronton,Boca del Diablo - Playa Fronton,,Grand Bahia Principe Cayacoa,,Yes,Rancho Tipico Samana,Yes,Jaragua Renaissancce,Jaragua Renaissancce,Jaragua Renaissancce,Jaragua Renaissancce,Jaragua Renaissancce,Yes,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,27 Charcos,NULL,Relaxing,NULL,Friendly and Inviting Locals,NULL,NULL,Hispaniola,NULL,NULL,NULL,NULL,NULL,NULL
Bermuda,BDA,Bermuda,The Reeef,Atlantic Ocean,NULL,NULL,Great for Couples,Great for Couples,Great for Couples,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,St. Georges,Tropical/Mediterranean ,Yes,NULL,NULL,Marine Life,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Cup of America Sailing,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Multiple Cruise Lines,Multiple Cruise Lines,Great harbor for activities and water transport,Bermuda,"Islander, Victorian",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,The Reeef,,Yes ,Spicelands Riding Center,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,Relaxing,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,Bermuda,NULL,Exposed rock,NULL,NULL,NULL,NULL
